iso_code,continent,location,population,world_population,people_vaccinated,total_vaccination,dose_nr_avg,total_boosers,total_cases,total_deaths,population_over_64,population_over_69,extreme_poverty_rate,life_exp,handwashing_fac_rate,cardiov_deaths_per100k,male_smokers_perc,female_smokers_perc,gdp_per_capita
DEU,Europe,Germany,"83,369,840.00","8,045,247,353.00","64,876,299.00","192,221,468.00",3,"64,791,434.00","38,437,756.00","174,979.00",21.45,15.96, -   ,81.33, -   ,156.14,33.1,28.2,"51,426.75"
CHN,Asia,China,"1,425,887,360.00","8,045,247,353.00","1,310,292,000.00","3,491,077,000.00",3,"826,913,000.00","99,329,249.00","121,933.00",10.64,5.93,0.7,76.91, -   ,261.9,48.4,1.9,"12,617.51"
GUM,Oceania,Guam,"171,783.00","8,045,247,353.00", -   , -   , NULL , -   ,"52,287.00",419,9.55,5.49, -   ,80.07, -   ,310.5, -   , -   ,"35,904.86"
COK,Oceania,Cook Islands,"17,032.00","8,045,247,353.00","15,112.00","40,854.00",3,"10,240.00","7,203.00",2, -   , -   , -   ,76.25, -   , -   , -   , -   , -   
IDN,Asia,Indonesia,"275,501,344.00","8,045,247,353.00","204,419,394.00","448,199,860.00",2,"69,356,250.00","6,828,268.00","162,054.00",5.32,3.05,5.7,71.72,64.2,342.86,76.1,2.8,"4,334.22"
CRI,North America,Costa Rica,"5,180,836.00","8,045,247,353.00","4,650,636.00","13,576,935.00",3,"2,986,527.00","1,230,653.00","9,368.00",9.47,5.69,1.3,80.28,83.84,137.97,17.4,6.4,"12,604.05"
JEY,Europe,Jersey,"110,796.00","8,045,247,353.00","84,365.00","266,953.00",3,"73,662.00","66,391.00",161, -   , -   , -   , -   , -   , -   , -   , -   , -   
ERI,Africa,Eritrea,"3,684,041.00","8,045,247,353.00", -   , -   , NULL , -   ,"10,189.00",103,3.61,2.17, -   ,66.32, -   ,311.11,11.4,0.2, -   
JOR,Asia,Jordan,"11,285,875.00","8,045,247,353.00","4,821,579.00","10,057,975.00",2,"682,211.00","1,746,997.00","14,122.00",3.81,2.36,0.1,74.53, -   ,208.26, -   , -   ,"4,152.76"
FIN,Europe,Finland,"5,540,745.00","8,045,247,353.00","4,524,288.00","13,327,120.00",3,"4,455,719.00","1,499,712.00","11,423.00",21.23,13.26, -   ,81.91, -   ,153.51,22.6,18.3,"53,504.69"
KNA,North America,Saint Kitts and Nevis,"47,681.00","8,045,247,353.00","33,794.00","64,297.00",2,"3,503.00","6,607.00",46, -   , -   , -   ,76.23, -   , -   , -   , -   ,"18,035.39"
FRO,Europe,Faeroe Islands,"53,117.00","8,045,247,353.00","41,715.00","103,894.00",2,"21,284.00","34,658.00",28, -   , -   , -   ,80.67, -   , -   , -   , -   ,"69,108.21"
FSM,Oceania,Micronesia (country),"114,178.00","8,045,247,353.00", -   , -   , NULL , -   ,"26,547.00",65,4.81,2.39,16,67.88, -   ,454.34, -   , -   ,"3,588.76"
GAB,Africa,Gabon,"2,388,997.00","8,045,247,353.00","311,244.00","572,672.00",2,"2,592.00","49,051.00",307,4.45,2.98,3.4,66.47, -   ,259.97, -   , -   ,"8,635.80"
GEO,Asia,Georgia,"3,744,385.00","8,045,247,353.00","1,654,504.00","2,930,677.00",2,"80,818.00","1,855,289.00","17,132.00",14.86,10.24,4.2,73.77, -   ,496.22,55.5,5.3,"5,023.27"
GBR,Europe,United Kingdom,"67,508,936.00","8,045,247,353.00","53,813,491.00","151,248,820.00",3,"40,373,987.00","24,892,903.00","232,112.00",18.52,12.53,0.2,81.32, -   ,122.14,24.7,20,"46,869.76"
GUF,South America,French Guiana,"304,568.00","8,045,247,353.00", -   , -   , NULL , -   ,"98,041.00",413, -   ,2.9, -   ,79.95, -   , -   , -   , -   , -   
JAM,North America,Jamaica,"2,827,382.00","8,045,247,353.00","859,773.00","1,528,445.00",2,"46,065.00","156,704.00","3,591.00",9.68,6.39, -   ,74.47,66.43,206.54,28.6,5.3,"5,183.58"
LIE,Europe,Liechtenstein,"39,355.00","8,045,247,353.00","26,771.00","74,337.00",3,"22,087.00","21,571.00",89, -   , -   , -   ,82.49, -   , -   , -   , -   ,"197,504.55"
AZE,Asia,Azerbaijan,"10,358,078.00","8,045,247,353.00","5,373,253.00","13,857,111.00",3,"3,362,453.00","834,470.00","10,353.00",6.02,3.87, -   ,73,83.24,559.81,42.5,0.3,"5,408.05"
BGR,Europe,Bulgaria,"6,781,955.00","8,045,247,353.00","2,108,544.00","4,725,969.00",2,"768,430.00","1,327,689.00","38,681.00",20.8,13.27,1.5,75.05, -   ,424.69,44.4,30.1,"12,219.34"
ECU,South America,Ecuador,"18,001,002.00","8,045,247,353.00","15,333,873.00","39,564,195.00",3,"10,554,926.00","1,062,896.00","36,019.00",7.1,4.46,3.6,77.01,80.64,140.45,12.3,2,"5,965.13"
